"firstname","lastname","username","email","role","district_id"
"Field","Coordinator 001","field.coordinator.001","field.coordinator.001@statgate.example","district_initiator",""
"Field","Coordinator 002","field.coordinator.002","field.coordinator.002@statgate.example","district_initiator",""
"Field","Coordinator 003","field.coordinator.003","field.coordinator.003@statgate.example","district_initiator",""
"Field","Coordinator 004","field.coordinator.004","field.coordinator.004@statgate.example","district_initiator",""
"Field","Coordinator 005","field.coordinator.005","field.coordinator.005@statgate.example","district_initiator",""
"Field","Coordinator 006","field.coordinator.006","field.coordinator.006@statgate.example","district_initiator",""
"Field","Coordinator 007","field.coordinator.007","field.coordinator.007@statgate.example","district_initiator",""
"Field","Coordinator 008","field.coordinator.008","field.coordinator.008@statgate.example","district_initiator",""
"Field","Coordinator 009","field.coordinator.009","field.coordinator.009@statgate.example","district_initiator",""
"Field","Coordinator 010","field.coordinator.010","field.coordinator.010@statgate.example","district_initiator",""
"Field","Coordinator 011","field.coordinator.011","field.coordinator.011@statgate.example","district_initiator",""
"Field","Coordinator 012","field.coordinator.012","field.coordinator.012@statgate.example","district_initiator",""
"Field","Coordinator 013","field.coordinator.013","field.coordinator.013@statgate.example","district_initiator",""
"Field","Coordinator 014","field.coordinator.014","field.coordinator.014@statgate.example","district_initiator",""
"Field","Coordinator 015","field.coordinator.015","field.coordinator.015@statgate.example","district_initiator",""
"Field","Coordinator 016","field.coordinator.016","field.coordinator.016@statgate.example","district_initiator",""
"Field","Coordinator 017","field.coordinator.017","field.coordinator.017@statgate.example","district_initiator",""
"Field","Coordinator 018","field.coordinator.018","field.coordinator.018@statgate.example","district_initiator",""
"Field","Coordinator 019","field.coordinator.019","field.coordinator.019@statgate.example","district_initiator",""
"Field","Coordinator 020","field.coordinator.020","field.coordinator.020@statgate.example","district_initiator",""
"Field","Coordinator 021","field.coordinator.021","field.coordinator.021@statgate.example","district_initiator",""
"Field","Coordinator 022","field.coordinator.022","field.coordinator.022@statgate.example","district_initiator",""
"Field","Coordinator 023","field.coordinator.023","field.coordinator.023@statgate.example","district_initiator",""
"Field","Coordinator 024","field.coordinator.024","field.coordinator.024@statgate.example","district_initiator",""
"Field","Coordinator 025","field.coordinator.025","field.coordinator.025@statgate.example","district_initiator",""
"Field","Coordinator 026","field.coordinator.026","field.coordinator.026@statgate.example","district_initiator",""
"Field","Coordinator 027","field.coordinator.027","field.coordinator.027@statgate.example","district_initiator",""
"Field","Coordinator 028","field.coordinator.028","field.coordinator.028@statgate.example","district_initiator",""
"Field","Coordinator 029","field.coordinator.029","field.coordinator.029@statgate.example","district_initiator",""
